Brand,Product Name,Price (INR),Product Link
acer,"acer Aspire Lite, 12th gen, Intel Core i5-12450H Processor, 16 GB, 512GB, 15.6""/39.62 cm, Windows 11 Home, MSO, Pure Silver, 1.70 kg, AL15-52H, Backlit Keyboard",40990,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDQzOTk2NDEzNTM1OjE3NjA5ODk0Mzk6c3BfbXRmOjMwMDMyNTkyMDk2MzczMjo6MDo6&url=%2FAcer-i5-12450H-Windows11Home-AL15-52H-Keyboard%2Fdp%2FB0DDL495SX%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1760989439%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=toB8mIrCZ8&sp_cr=ZAZ
Apple,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",96990,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDQzOTk2NDEzNTM1OjE3NjA5ODk0Mzk6c3BfbXRmOjMwMDQ5OTQ1MzM0NzQzMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDQ429%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1760989439%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=zsKjVxuqwq&sp_cr=ZAZ
Acer,"Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop",40490,https://www.amazon.in/Acer-i5-1334U-39-62cm-Windows-AL15-53/dp/B0DPXBHF8H/ref=sr_1_13?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-13
HP,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",48990,https://www.amazon.in/HP-i5-1334U-Anti-Glare-Micro-Edge-fd0577TU/dp/B0F4R6H3NB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-14
HP,"HP Professional 14 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" HD Display/Turbo Silver/1.4 Kg/MSO 2021",36990,https://www.amazon.in/dp/B0FVJJSYXW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-15
ASUS,"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",41990,https://www.amazon.in/ASUS-Vivobook-Smartchoice-Windows-M1502YA-BQ703WS/dp/B0FC2LKFSC/ref=sr_1_16?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-16
Lenovo,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",34340,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_17?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-17
Lenovo,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN",36990,https://www.amazon.in/Lenovo-Windows-1920x1080-Antiglare-83CCA08KIN/dp/B0FNS215RC/ref=sr_1_18?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-18
HP,"HP 15,Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",59990,https://www.amazon.in/HP-Office24-fd1354TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-19
HP,"HP Smartchoice Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6’’/39.6cm, Win11, Office24, Blue, 2.29kg, fa2190/fa2191tx Gaming Laptop",62990,https://www.amazon.in/HP-Smartchoice-i5-13420H-Upgradeable-fa2190TX/dp/B0F6CVT23B/ref=sr_1_20?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-20
